comparison,dataset,n,p_value,slope,r_squared,pearson_r,lambda
ln(Giant module reactions) ~ Substrate usage,Full,316,0.33239697966222503,-0.0019442169256640354,0.002992436465444933,-0.05470316686851807,1
ln(Giant module reactions) ~ Substrate usage,Clean,312,0.9405084356514046,-4.1366707102943184e-5,1.799581552044294e-5,-0.004242147512810338,0.926941735088703
ln(ACR metabolites) ~ Substrate usage,Full,316,0.9963776486627212,2.2295621380783934e-5,6.574547843607027e-8,2.564088111513921e-4,0.8587159258674866
ln(ACR metabolites) ~ Substrate usage,Clean,312,0.670468037806851,0.0017179994300554526,5.848204755219157e-4,0.024183061748296382,0.6600700168330915
Giant module proportion ~ Substrate usage,Full,316,0.3197065025544261,-1.0319114733854898e-4,0.0031533752308419293,-0.056154921697407156,1
Giant module proportion ~ Substrate usage,Clean,312,0.766009920615941,-1.2226224640790291e-5,2.861125788607577e-4,-0.01691486266159905,0.5072344996678162
ACR proportion ~ Substrate usage,Full,316,0.9405228613287697,-3.685195680954333e-7,1.7757575586329483e-5,-0.004213973847371324,0.823690033672498
ACR proportion ~ Substrate usage,Clean,312,0.885974173097211,6.42933919339607e-7,6.643906224957158e-5,0.008151016025598992,0.7439639304488809
ln(Total reactions) ~ Substrate usage,Full,316,0.7158890805163569,1.9257900223880464e-4,4.2244833409219555e-4,0.02055354796846996,0.9357957428817031
ln(Total reactions) ~ Substrate usage,Clean,312,0.6511233944084283,2.3207271811532745e-4,6.60481157987711e-4,0.025699827975838883,0.9315069403008807
Biomass yield ~ ln(Giant module reactions),Full,316,0.4228561882011972,-2.646554837121909e-4,0.002046905838980835,-0.04524274349529253,0.5827106402124935
Biomass yield ~ ln(Giant module reactions),Clean,312,5.272828694473652e-4,0.006560538018545392,0.0380815983429005,0.19514506999383946,0.5131921186394218
Biomass yield ~ ln(ACR metabolites),Full,316,0.7495189211552213,7.798950149268125e-5,3.251005920264323e-4,0.018030546082313546,0.5851817404741668
Biomass yield ~ ln(ACR metabolites),Clean,312,0.15324130416295123,4.353851918292538e-4,0.0065685783117207675,0.08104676620150102,0.5715304266335726
Biomass yield ~ Giant module proportion,Full,316,0.09150475923722734,-0.011183239797212752,0.00904241925337944,-0.09509163608530163,0.5796817148461458
Biomass yield ~ Giant module proportion,Clean,312,0.1503975509119997,-0.042486201824356584,0.006660143904858669,-0.08160970472228575,0.5939507810430552
Biomass yield ~ ACR proportion,Full,316,0.39439204137593586,-0.2076755583136407,0.0023110628628546567,-0.048073515191367655,0.5813480014944115
Biomass yield ~ ACR proportion,Clean,312,0.8011641385334802,-0.06918043010941943,2.0490207966150092e-4,-0.014314401128286887,0.5760057368495737
Biomass yield ~ ln(Total reactions),Full,316,5.29916659570695e-5,0.007817089337421201,0.050779623386174956,0.2253433455555654,0.5237994201603342
Biomass yield ~ ln(Total reactions),Clean,312,4.851307236442004e-5,0.00817235418727602,0.05193158987313019,0.22788503652747846,0.5169802310829928
Biomass yield ~ ln(Non-giant module reactions),Full,316,1.9125857386947942e-5,0.007573806750295287,0.056624685119068305,0.2379594190593604,0.5230907365302607
Biomass yield ~ ln(Non-giant module reactions),Clean,312,2.569611837888175e-5,0.008514600084853718,0.05562146693262208,0.2358420380946155,0.51991925198923306
ln(Non-giant module reactions) ~ Substrate usage,Full,316,0.5998155166788715,2.9202545019864877e-4,8.776811150426092e-4,0.029625683368364842,0.9538344259915393
ln(Non-giant module reactions) ~ Substrate usage,Clean,312,0.503283405994821,3.4334210191562693e-4,0.0014464659754918315,0.03803243320498744,0.9295353467966209
